feature,importance
terminal_hist_fraud_rate,0.2553932
customer_amount_deviation,0.15371493
terminal_hist_fraud_count,0.09941477
customer_amount_zscore,0.091069736
terminal_recent_fraud_rate_24h,0.0548575
terminal_fraud_rate_deviation,0.044153947
tx_amount,0.030942116
customer_hist_amount_std,0.029441353
customer_hist_amount_mean,0.024979783
terminal_fraud_rate_deviation_was_missing,0.02176228
terminal_recent_fraud_count_24h,0.0187148
customer_amount_zscore_was_missing,0.01790354
terminal_tx_count_24h,0.015940182
terminal_time_since_prev_tx_seconds,0.010091757
terminal_tx_count_1h,0.00902286
customer_tx_count_10min,0.008004151
terminal_hist_amount_std,0.007841633
customer_new_terminal_flag,0.007392088
customer_unique_terminals_count,0.006776295
terminal_unique_customers_count,0.0064672288
tx_day_of_week,0.0064190594
customer_time_since_prev_tx_seconds,0.006274686
customer_tx_count_24h,0.0062518
tx_hour,0.006095681
customer_prior_tx_count,0.006048341
customer_hour_deviation,0.0060414462
terminal_prior_tx_count,0.0059889858
pair_prior_interaction_count,0.00582714
terminal_hist_amount_mean,0.005510957
customer_tx_count_1h,0.0054604406
tx_is_night,0.005060241
tx_is_weekend,0.0047749323
terminal_volume_deviation,0.0047230744
terminal_hist_amount_std_was_missing,0.0042081135
terminal_tx_count_10min,0.0038874706
pair_is_new_relationship,0.0019652636
terminal_volume_deviation_was_missing,0.0015782451
customer_hist_amount_mean_was_missing,0.0
customer_hist_amount_std_was_missing,0.0
customer_hour_deviation_was_missing,0.0
customer_time_since_prev_tx_seconds_was_missing,0.0
customer_amount_deviation_was_missing,0.0
terminal_hist_amount_mean_was_missing,0.0
terminal_hist_fraud_rate_was_missing,0.0
terminal_recent_fraud_rate_24h_was_missing,0.0
terminal_time_since_prev_tx_seconds_was_missing,0.0
